Transaction_Date,Project_Name,Department,Expense_Type,Budget_Amount,Actual_Amount,Variance_Amount
2026-03-28,"Franchise Shorts","Production & Animation","Compute/Cloud Infrastructure",360938.37,378985.29,18046.92
2026-02-13,"Franchise Shorts","Marketing & Franchise","Compute/Cloud Infrastructure",278153.32,347691.65,69538.33
2026-03-11,"Franchise Shorts","Post-Production & Sound","Travel & Casting",437407.31,459277.68,21870.37
2026-01-26,"Project Hoppers","Marketing & Franchise","Compute/Cloud Infrastructure",182998.78,228748.48,45749.70
2026-01-25,"Franchise Shorts","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",352445.13,299578.36,-52866.77
2026-03-29,"Toy Story 5","Post-Production & Sound","Compute/Cloud Infrastructure",29554.61,31032.34,1477.73
2026-01-23,"Unallocated Corporate Overhead","Post-Production & Sound","Labor - Internal",498992.95,474043.30,-24949.65
2026-01-20,"Project Elio","Pre-Production & Story","Equipment Lease",255851.16,243058.60,-12792.56
2026-02-25,"Franchise Shorts","Production & Animation","Compute/Cloud Infrastructure",35933.57,37730.25,1796.68
2026-03-12,"Franchise Shorts","Marketing & Franchise","Vendor Contract",226519.93,283149.91,56629.98
2026-01-06,"Franchise Shorts","Post-Production & Sound","Labor - Internal",467928.31,655099.63,187171.32
2026-02-03,"Franchise Shorts","Production & Animation","Equipment Lease",139523.62,174404.52,34880.90
2026-03-21,"Toy Story 5","Technical Operations (Render Farm)","Equipment Lease",28068.79,29472.23,1403.44
2026-03-22,"Toy Story 5","Pre-Production & Story","Compute/Cloud Infrastructure",309799.90,294309.91,-15489.99
2026-03-11,"Toy Story 5","Post-Production & Sound","Equipment Lease",277598.50,235958.73,-41639.77
2026-03-02,"Project Elio","Technical Operations (Render Farm)","Equipment Lease",145065.70,137812.42,-7253.28
2026-02-19,"Toy Story 5","Pre-Production & Story","Vendor Contract",286782.13,358477.66,71695.53
2026-01-01,"Franchise Shorts","Technical Operations (Render Farm)","Vendor Contract",273806.46,260116.14,-13690.32
2026-01-23,"Franchise Shorts","Post-Production & Sound","Vendor Contract",118250.30,165550.42,47300.12
2026-03-08,"Franchise Shorts","Production & Animation","Compute/Cloud Infrastructure",237248.27,201661.03,-35587.24
2026-02-22,"Project Hoppers","Production & Animation","Compute/Cloud Infrastructure",242502.40,339503.36,97000.96
2026-01-25,"Project Elio","Production & Animation","Labor - Internal",474329.25,403179.86,-71149.39
2026-02-12,"Franchise Shorts","Pre-Production & Story","Vendor Contract",145841.46,204178.04,58336.58
2026-01-31,"Toy Story 5","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",199472.06,249340.08,49868.02
2026-02-28,"Franchise Shorts","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",416229.51,582721.31,166491.80
2026-02-23,"Project Elio","Production & Animation","Equipment Lease",284828.37,270586.95,-14241.42
2026-02-01,"Project Elio","Production & Animation","Compute/Cloud Infrastructure",367580.85,385959.89,18379.04
2026-02-09,"Project Hoppers","Technical Operations (Render Farm)","Equipment Lease",202134.72,252668.40,50533.68
2026-03-09,"Project Elio","Production & Animation","Compute/Cloud Infrastructure",409771.33,348305.63,-61465.70
2026-01-27,"Project Hoppers","Technical Operations (Render Farm)","Labor - Internal",351214.47,-333653.75,-684868.22
2026-01-10,"Toy Story 5","Technical Operations (Render Farm)","Vendor Contract",173194.87,181854.61,8659.74
2026-01-31,"Project Hoppers","Production & Animation","Compute/Cloud Infrastructure",70289.77,98405.68,28115.91
2026-02-15,"Franchise Shorts","Production & Animation","Travel & Casting",278470.78,348088.48,69617.70
2026-01-20,"Toy Story 5","Technical Operations (Render Farm)","Equipment Lease",82095.75,86200.54,4104.79
2026-02-12,"Project Hoppers","Technical Operations (Render Farm)","Labor - Internal",61494.79,58420.05,-3074.74
2026-03-12,"Toy Story 5","Production & Animation","Compute/Cloud Infrastructure",375379.25,394148.21,18768.96
2026-03-29,"Project Hoppers","Production & Animation","Labor - Internal",353293.58,370958.26,17664.68
2026-02-17,"Toy Story 5","Technical Operations (Render Farm)","Vendor Contract",228888.17,286110.21,57222.04
2026-02-12,"Franchise Shorts","Pre-Production & Story","Vendor Contract",275661.77,385926.48,110264.71
2026-02-15,"Toy Story 5","Marketing & Franchise","Travel & Casting",460731.47,645024.06,184292.59
2026-01-10,"Project Hoppers","Production & Animation","Vendor Contract",424081.75,445285.84,21204.09
2026-02-26,"Project Hoppers","Post-Production & Sound","Vendor Contract",373634.45,392316.17,18681.72
2026-03-14,"Toy Story 5","Pre-Production & Story","Vendor Contract",210627.92,200096.52,-10531.40
2026-01-31,"Franchise Shorts","Marketing & Franchise","Labor - Internal",112067.14,95257.07,-16810.07
2026-01-05,"Toy Story 5","Marketing & Franchise","Travel & Casting",222999.90,189549.91,-33449.99
2026-01-02,"Project Elio","Production & Animation","Travel & Casting",243155.11,340417.15,97262.04
2026-03-23,"Toy Story 5","Post-Production & Sound","Labor - Internal",199753.73,279655.22,79901.49
2026-01-15,"Franchise Shorts","Production & Animation","Compute/Cloud Infrastructure",250234.70,262746.43,12511.73
2026-01-24,"Project Hoppers","Technical Operations (Render Farm)","Vendor Contract",244792.31,208073.46,-36718.85
2026-02-12,"Project Elio","Marketing & Franchise","Equipment Lease",478542.32,669959.25,191416.93
2026-01-27,"Toy Story 5","Marketing & Franchise","Travel & Casting",293632.06,278950.46,-14681.60
2026-01-10,"Franchise Shorts","Post-Production & Sound","Vendor Contract",179901.46,152916.24,-26985.22
2026-03-27,"Project Hoppers","Technical Operations (Render Farm)","Vendor Contract",490787.01,613483.76,122696.75
2026-02-05,"Franchise Shorts","Technical Operations (Render Farm)","Equipment Lease",53261.22,45272.04,-7989.18
2026-01-04,"Toy Story 5","Post-Production & Sound","Vendor Contract",95106.44,133149.02,38042.58
2026-03-10,"Franchise Shorts","Post-Production & Sound","Equipment Lease",392610.97,333719.32,-58891.65
2026-03-31,"Toy Story 5","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",236389.00,248208.45,11819.45
2026-02-12,"Project Hoppers","Marketing & Franchise","Vendor Contract",419023.34,439974.51,20951.17
2026-03-21,"Project Hoppers","Technical Operations (Render Farm)","Labor - Internal",208753.88,292255.43,83501.55
2026-01-23,"Toy Story 5","Post-Production & Sound","Equipment Lease",373375.03,466718.79,93343.76
2026-03-21,"Franchise Shorts","Pre-Production & Story","Labor - Internal",326497.07,457095.90,130598.83
2026-03-06,"Project Hoppers","Production & Animation","Compute/Cloud Infrastructure",466954.64,490302.37,23347.73
2026-01-25,"Toy Story 5","Pre-Production & Story","Labor - Internal",200606.57,210636.90,10030.33
2026-01-15,"Franchise Shorts","Technical Operations (Render Farm)","Vendor Contract",439700.13,461685.14,21985.01
2026-01-18,"Franchise Shorts","Technical Operations (Render Farm)","Equipment Lease",461442.38,646019.33,184576.95
2026-01-01,"Toy Story 5","Production & Animation","Travel & Casting",454828.10,386603.88,-68224.22
2026-01-10,"Franchise Shorts","Post-Production & Sound","Vendor Contract",300210.23,285199.72,-15010.51
2026-01-03,"Project Elio","Post-Production & Sound","Labor - Internal",79951.94,83949.54,3997.60
2026-03-12,"Franchise Shorts","Marketing & Franchise","Equipment Lease",241967.56,302459.45,60491.89
2026-02-15,"Project Elio","Pre-Production & Story","Travel & Casting",255211.69,357296.37,102084.68
2026-01-28,"Project Hoppers","Production & Animation","Vendor Contract",435776.36,370409.91,-65366.45
2026-03-08,"Unallocated Corporate Overhead","Marketing & Franchise","Equipment Lease",69192.86,96870.00,27677.14
2026-01-16,"Toy Story 5","Technical Operations (Render Farm)","Equipment Lease",254306.29,267021.60,12715.31
2026-02-19,"Toy Story 5","Production & Animation","Equipment Lease",290533.04,363166.30,72633.26
2026-01-05,"Toy Story 5","Marketing & Franchise","Travel & Casting",237980.55,226081.52,-11899.03
2026-02-10,"Project Hoppers","Production & Animation","Labor - Internal",360713.61,342677.93,-18035.68
2026-03-31,"Toy Story 5","Production & Animation","Labor - Internal",84932.99,72193.04,-12739.95
2026-02-01,"Toy Story 5","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",315631.54,394539.42,78907.88
2026-03-31,"Project Hoppers","Production & Animation","Equipment Lease",499316.20,524282.01,24965.81
2026-02-28,"Toy Story 5","Post-Production & Sound","Labor - Internal",102445.46,128056.83,25611.37
2026-03-12,"Project Hoppers","Production & Animation","Vendor Contract",236720.05,224884.05,-11836.00
2026-02-12,"Project Elio","Post-Production & Sound","Travel & Casting",199276.47,169385.00,-29891.47
2026-03-20,"Project Hoppers","Production & Animation","Labor - Internal",425226.30,446487.61,21261.31
2026-02-23,"Project Elio","Production & Animation","Compute/Cloud Infrastructure",416160.62,582624.87,166464.25
2026-03-17,"Project Hoppers","Marketing & Franchise","Labor - Internal",86522.06,82195.96,-4326.10
2026-02-10,"Project Hoppers","Marketing & Franchise","Labor - Internal",88710.77,93146.31,4435.54
2026-03-09,"Project Hoppers","Post-Production & Sound","Equipment Lease",99973.05,104971.70,4998.65
2026-03-15,"Toy Story 5","Production & Animation","Labor - Internal",112997.05,-118646.90,-231643.95
2026-03-13,"Project Hoppers","Production & Animation","Travel & Casting",165044.85,156792.61,-8252.24
2026-02-06,"Toy Story 5","Technical Operations (Render Farm)","Labor - Internal",258657.37,219858.76,-38798.61
2026-01-16,"Project Hoppers","Pre-Production & Story","Compute/Cloud Infrastructure",340676.50,425845.62,85169.12
2026-02-03,"Franchise Shorts","Production & Animation","Vendor Contract",122687.35,171762.29,49074.94
2026-02-14,"Toy Story 5","Post-Production & Sound","Equipment Lease",333526.59,350202.92,16676.33
2026-03-02,"Toy Story 5","Technical Operations (Render Farm)","Travel & Casting",455704.91,387349.17,-68355.74
2026-02-18,"Franchise Shorts","Post-Production & Sound","Equipment Lease",462014.93,485115.68,23100.75
2026-03-28,"Franchise Shorts","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",103207.62,108368.00,5160.38
2026-03-04,"Project Hoppers","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",184844.44,194086.66,9242.22
2026-01-29,"Franchise Shorts","Post-Production & Sound","Travel & Casting",430956.19,409408.38,-21547.81
2026-02-16,"Franchise Shorts","Marketing & Franchise","Equipment Lease",150164.67,142656.44,-7508.23
2026-03-16,"Project Hoppers","Production & Animation","Travel & Casting",342488.83,325364.39,-17124.44
2026-02-17,"Toy Story 5","Marketing & Franchise","Equipment Lease",20015.65,25019.56,5003.91
2026-01-22,"Franchise Shorts","Production & Animation","Labor - Internal",221876.39,310626.95,88750.56
2026-03-08,"Franchise Shorts","Technical Operations (Render Farm)","Equipment Lease",410373.15,348817.18,-61555.97
2026-02-23,"Toy Story 5","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",489113.70,415746.65,-73367.05
2026-03-14,"Project Elio","Marketing & Franchise","Labor - Internal",91886.98,87292.63,-4594.35
2026-02-18,"Toy Story 5","Technical Operations (Render Farm)","Travel & Casting",97672.35,136741.29,39068.94
2026-03-02,"Project Elio","Post-Production & Sound","Equipment Lease",190784.90,181245.65,-9539.25
2026-01-12,"Project Elio","Production & Animation","Equipment Lease",230921.30,242467.36,11546.06
2026-02-10,"Project Hoppers","Post-Production & Sound","Vendor Contract",141466.04,176832.55,35366.51
2026-01-26,"Project Hoppers","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",493967.43,469269.06,-24698.37
2026-02-16,"Project Hoppers","Pre-Production & Story","Travel & Casting",105372.43,147521.40,42148.97
2026-03-26,"Project Elio","Post-Production & Sound","Labor - Internal",444067.86,555084.82,111016.96
2026-02-19,"Project Hoppers","Post-Production & Sound","Equipment Lease",446975.08,558718.85,111743.77
2026-03-20,"Toy Story 5","Production & Animation","Labor - Internal",208519.84,260649.80,52129.96
2026-02-14,"Toy Story 5","Pre-Production & Story","Compute/Cloud Infrastructure",499955.02,699937.03,199982.01
2026-03-30,"Project Hoppers","Marketing & Franchise","Compute/Cloud Infrastructure",465557.21,581946.51,116389.30
2026-03-17,"Project Elio","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",335513.37,285186.36,-50327.01
2026-03-25,"Toy Story 5","Marketing & Franchise","Compute/Cloud Infrastructure",226362.07,237680.17,11318.10
2026-03-07,"Unallocated Corporate Overhead","Technical Operations (Render Farm)","Vendor Contract",123206.42,154008.02,30801.60
2026-01-08,"Toy Story 5","Technical Operations (Render Farm)","Travel & Casting",481395.62,601744.53,120348.91
2026-01-22,"Toy Story 5","Marketing & Franchise","Travel & Casting",135620.35,128839.33,-6781.02
2026-03-17,"Toy Story 5","Production & Animation","Travel & Casting",295801.23,369751.54,73950.31
2026-03-03,"Project Hoppers","Production & Animation","Compute/Cloud Infrastructure",59384.33,74230.41,14846.08
2026-03-23,"Franchise Shorts","Marketing & Franchise","Compute/Cloud Infrastructure",244382.21,207724.88,-36657.33
2026-01-08,"Project Hoppers","Technical Operations (Render Farm)","Vendor Contract",379772.12,360783.51,-18988.61
2026-01-28,"Project Hoppers","Technical Operations (Render Farm)","Vendor Contract",300724.79,255616.07,-45108.72
2026-02-13,"Franchise Shorts","Technical Operations (Render Farm)","Equipment Lease",26693.36,22689.36,-4004.00
2026-01-27,"Project Elio","Technical Operations (Render Farm)","Vendor Contract",119622.62,101679.23,-17943.39
2026-03-15,"Toy Story 5","Production & Animation","Vendor Contract",427296.49,598215.09,170918.60
2026-01-21,"Toy Story 5","Production & Animation","Labor - Internal",354561.46,336833.39,-17728.07
2026-01-20,"Franchise Shorts","Technical Operations (Render Farm)","Equipment Lease",326240.62,277304.53,-48936.09
2026-03-12,"Toy Story 5","Pre-Production & Story","Labor - Internal",215483.71,226257.90,10774.19
2026-01-31,"Toy Story 5","Post-Production & Sound","Travel & Casting",389749.09,545648.73,155899.64
2026-03-19,"Toy Story 5","Pre-Production & Story","Travel & Casting",297322.90,371653.62,74330.72
2026-02-02,"Project Elio","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",32769.36,45877.10,13107.74
2026-03-16,"Project Elio","Post-Production & Sound","Labor - Internal",453885.18,476579.44,22694.26
2026-02-15,"Project Elio","Production & Animation","Travel & Casting",59246.89,56284.55,-2962.34
2026-02-22,"Project Hoppers","Marketing & Franchise","Travel & Casting",111197.97,155677.16,44479.19
2026-03-21,"Toy Story 5","Pre-Production & Story","Vendor Contract",29772.26,37215.32,7443.06
2026-01-01,"Franchise Shorts","Marketing & Franchise","Vendor Contract",436900.04,546125.05,109225.01
2026-03-19,"Project Elio","Production & Animation","Labor - Internal",176556.30,150072.85,-26483.45
2026-01-04,"Franchise Shorts","Technical Operations (Render Farm)","Vendor Contract",87545.41,91922.68,4377.27
2026-03-27,"Project Hoppers","Technical Operations (Render Farm)","Labor - Internal",414245.18,579943.25,165698.07
2026-03-21,"Franchise Shorts","Post-Production & Sound","Equipment Lease",74778.74,63561.93,-11216.81
2026-02-18,"Project Elio","Technical Operations (Render Farm)","Equipment Lease",283280.80,396593.12,113312.32
2026-02-03,"Franchise Shorts","Technical Operations (Render Farm)","Travel & Casting",216634.50,270793.12,54158.62
2026-03-16,"Franchise Shorts","Marketing & Franchise","Labor - Internal",396098.44,554537.82,158439.38
2026-02-20,"Project Hoppers","Marketing & Franchise","Compute/Cloud Infrastructure",332614.32,465660.05,133045.73
2026-03-12,"Project Elio","Pre-Production & Story","Equipment Lease",327130.70,457982.98,130852.28
2026-02-16,"Project Hoppers","Post-Production & Sound","Equipment Lease",163284.68,155120.45,-8164.23
2026-03-07,"Project Elio","Marketing & Franchise","Vendor Contract",477252.19,668153.07,190900.88
2026-01-13,"Project Elio","Post-Production & Sound","Travel & Casting",281580.00,267501.00,-14079.00
2026-01-17,"Project Hoppers","Pre-Production & Story","Labor - Internal",496892.39,422358.53,-74533.86
2026-01-08,"Project Elio","Post-Production & Sound","Compute/Cloud Infrastructure",51750.43,72450.60,20700.17
2026-01-10,"Toy Story 5","Post-Production & Sound","Vendor Contract",112378.06,117996.96,5618.90
2026-01-01,"Project Elio","Production & Animation","Compute/Cloud Infrastructure",495056.94,470304.09,-24752.85
2026-03-23,"Franchise Shorts","Marketing & Franchise","Compute/Cloud Infrastructure",392622.25,412253.36,19631.11
2026-01-05,"Project Elio","Marketing & Franchise","Equipment Lease",271083.92,257529.72,-13554.20
2026-01-14,"Project Hoppers","Production & Animation","Compute/Cloud Infrastructure",52579.13,73610.78,21031.65
2026-01-27,"Franchise Shorts","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",189930.06,237412.58,47482.52
2026-01-28,"Project Hoppers","Technical Operations (Render Farm)","Vendor Contract",270966.53,230321.55,-40644.98
2026-03-02,"Franchise Shorts","Post-Production & Sound","Equipment Lease",299472.87,374341.09,74868.22
2026-01-20,"Project Elio","Pre-Production & Story","Labor - Internal",250045.98,262548.28,12502.30
2026-01-13,"Toy Story 5","Technical Operations (Render Farm)","Labor - Internal",95064.63,90311.40,-4753.23
2026-03-11,"Toy Story 5","Production & Animation","Vendor Contract",303746.42,288559.10,-15187.32
2026-03-01,"Project Hoppers","Production & Animation","Equipment Lease",329353.74,312886.05,-16467.69
2026-01-14,"Project Elio","Technical Operations (Render Farm)","Travel & Casting",170722.23,179258.34,8536.11
2026-02-23,"Franchise Shorts","Pre-Production & Story","Travel & Casting",419225.58,440186.86,20961.28
2026-03-31,"Project Elio","Production & Animation","Vendor Contract",267442.24,280814.35,13372.11
2026-01-18,"Franchise Shorts","Pre-Production & Story","Compute/Cloud Infrastructure",126414.30,120093.58,-6320.72
2026-02-16,"Toy Story 5","Technical Operations (Render Farm)","Travel & Casting",409021.02,388569.97,-20451.05
2026-03-26,"Toy Story 5","Pre-Production & Story","Vendor Contract",480262.72,408223.31,-72039.41
2026-01-30,"Franchise Shorts","Technical Operations (Render Farm)","Vendor Contract",495269.05,420978.69,-74290.36
2026-03-26,"Franchise Shorts","Pre-Production & Story","Vendor Contract",453956.04,431258.24,-22697.80
2026-02-04,"Franchise Shorts","Technical Operations (Render Farm)","Equipment Lease",193182.26,241477.83,48295.57
2026-01-13,"Franchise Shorts","Post-Production & Sound","Travel & Casting",313686.46,266633.49,-47052.97
2026-02-01,"Project Hoppers","Pre-Production & Story","Compute/Cloud Infrastructure",377922.49,529091.49,151169.00
2026-01-12,"Project Elio","Technical Operations (Render Farm)","Vendor Contract",435891.63,610248.28,174356.65
2026-02-23,"Franchise Shorts","Technical Operations (Render Farm)","Labor - Internal",49966.02,47467.72,-2498.30
2026-02-09,"Toy Story 5","Production & Animation","Travel & Casting",379680.38,322728.32,-56952.06
2026-01-03,"Project Elio","Post-Production & Sound","Vendor Contract",380295.84,399310.63,19014.79
2026-01-19,"Toy Story 5","Technical Operations (Render Farm)","Travel & Casting",341704.22,324619.01,-17085.21
2026-02-01,"Project Elio","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",77429.07,73557.62,-3871.45
2026-02-24,"Project Hoppers","Production & Animation","Vendor Contract",335064.97,469090.96,134025.99
2026-01-09,"Franchise Shorts","Production & Animation","Labor - Internal",369704.13,462130.16,92426.03
2026-01-09,"Franchise Shorts","Production & Animation","Labor - Internal",261304.87,222109.14,-39195.73
2026-02-09,"Project Elio","Post-Production & Sound","Compute/Cloud Infrastructure",186647.25,233309.06,46661.81
2026-03-24,"Unallocated Corporate Overhead","Post-Production & Sound","Vendor Contract",28680.94,35851.17,7170.23
2026-01-23,"Toy Story 5","Production & Animation","Vendor Contract",232754.97,221117.22,-11637.75
2026-03-08,"Project Hoppers","Production & Animation","Vendor Contract",347667.09,295517.03,-52150.06
2026-03-07,"Franchise Shorts","Marketing & Franchise","Vendor Contract",114051.80,108349.21,-5702.59
2026-01-16,"Toy Story 5","Post-Production & Sound","Travel & Casting",212699.32,223334.29,10634.97
2026-03-04,"Toy Story 5","Marketing & Franchise","Travel & Casting",496976.93,695767.70,198790.77
2026-03-30,"Project Hoppers","Post-Production & Sound","Compute/Cloud Infrastructure",444884.73,556105.91,111221.18
2026-03-03,"Franchise Shorts","Pre-Production & Story","Labor - Internal",437715.31,612801.43,175086.12
2026-02-26,"Project Elio","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",256306.57,243491.24,-12815.33
2026-02-17,"Toy Story 5","Pre-Production & Story","Equipment Lease",226147.95,214840.55,-11307.40
2026-01-03,"Unallocated Corporate Overhead","Post-Production & Sound","Vendor Contract",130197.06,123687.21,-6509.85
2026-03-16,"Toy Story 5","Pre-Production & Story","Vendor Contract",355874.25,338080.54,-17793.71
2026-02-10,"Project Hoppers","Pre-Production & Story","Compute/Cloud Infrastructure",135737.05,128950.20,-6786.85
2026-01-08,"Project Elio","Technical Operations (Render Farm)","Labor - Internal",237999.11,226099.15,-11899.96
2026-03-26,"Toy Story 5","Post-Production & Sound","Equipment Lease",460586.84,575733.55,115146.71
2026-01-11,"Franchise Shorts","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",419566.36,524457.95,104891.59
2026-03-25,"Franchise Shorts","Production & Animation","Compute/Cloud Infrastructure",460455.37,483478.14,23022.77
2026-02-17,"Toy Story 5","Marketing & Franchise","Equipment Lease",73980.26,92475.32,18495.06
2026-01-25,"Unallocated Corporate Overhead","Marketing & Franchise","Travel & Casting",63681.77,54129.50,-9552.27
2026-02-18,"Project Elio","Technical Operations (Render Farm)","Vendor Contract",242566.43,206181.47,-36384.96
2026-02-06,"Project Elio","Production & Animation","Travel & Casting",411868.11,350087.89,-61780.22
2026-02-07,"Franchise Shorts","Technical Operations (Render Farm)","Travel & Casting",421754.63,527193.29,105438.66
2026-02-08,"Franchise Shorts","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",410468.57,574656.00,164187.43
2026-01-03,"Toy Story 5","Pre-Production & Story","Equipment Lease",359457.12,503239.97,143782.85
2026-01-11,"Project Hoppers","Technical Operations (Render Farm)","Equipment Lease",249885.54,212402.71,-37482.83
