Transaction_Date,Project_Name,Department,Expense_Type,Budget_Amount,Actual_Amount
2026-03-22,Toy Story 5,Pre-Production & Story,Compute/Cloud Infrastructure,309799.9,294309.91
03/11/2026,Toy Story 5,Post-Prod & Sound,Equipment Lease,277598.5,235958.73
2026-03-02,Project Elio,RENDERING,Equipment Lease,145065.7,137812.42
2026-02-19,Toy Story 5,Pre-Production & Story,Vendor Contract,286782.13,"$358,477.66"
2026-01-01,Franchise Shorts,Tech Ops - Render,Vendor Contract,"$273,806.46",260116.14
2026-01-23,Franchise Shorts,Post-Prod & Sound,Vendor Contract,118250.3,"$165,550.42"
2026-03-08,Franchise Shorts,Anim & Production,Compute/Cloud Infrastructure,237248.27,201661.03
2026-02-22,Project Hoppers,Animation & Prod,Compute/Cloud Infrastructure,242502.4,339503.36
2026-01-25,Project Elio,Anim & Production,Labor - Internal,474329.25,403179.86
2026-02-12,Franchise Shorts,Pre-Production & Story,Vendor Contract,145841.46,204178.04
2026-01-31,Toy Story 5,Tech Ops - Render,Compute/Cloud Infrastructure,199472.06,249340.08
2026-02-28,Franchise Shorts,Tech Ops - Render,Compute/Cloud Infrastructure,416229.51,582721.31
2026-02-23,Project Elio,Animation & Prod,Equipment Lease,"$284,828.37",270586.95
02/01/2026,Project Elio,Animation & Prod,Compute/Cloud Infrastructure,367580.85,385959.89
2026-02-09,Project Hoppers,Tech Ops - Render,Equipment Lease,202134.72,252668.4
2026-03-09,Project Elio,Animation & Prod,Compute/Cloud Infrastructure,409771.33,348305.63
2026-01-27,Project Hoppers,Tech Ops - Render,Labor - Internal,351214.47,-333653.75
2026-01-10,Toy Story 5,Tech Ops - Render,Vendor Contract,173194.87,181854.61
2026-01-31,Project Hoppers,Anim & Production,Compute/Cloud Infrastructure,"$70,289.77",98405.68
02/15/2026,Franchise Shorts,Anim & Production,Travel & Casting,278470.78,"$348,088.48"
2026-01-20,Toy Story 5,RENDERING,Equipment Lease,82095.75,86200.54
2026-02-12,Project Hoppers,Tech Ops - Render,Labor - Internal,61494.79,58420.05
2026-03-12,Toy Story 5,Animation & Prod,Compute/Cloud Infrastructure,375379.25,394148.21
2026-03-29,Project Hoppers,Animation & Prod,Labor - Internal,353293.58,"$370,958.26"
2026-02-17,Toy Story 5,RENDERING,Vendor Contract,228888.17,286110.21
2026-02-12,Franchise Shorts,Pre-Production & Story,Vendor Contract,275661.77,385926.48
2026-02-15,Toy Story 5,Marketing,Travel & Casting,460731.47,"$645,024.06"
2026-01-10,Project Hoppers,Anim & Production,Vendor Contract,424081.75,445285.84
02/26/2026,Project Hoppers,Post-Prod & Sound,Vendor Contract,373634.45,392316.17
03/14/2026,Toy Story 5,Pre-Production & Story,Vendor Contract,210627.92,200096.52
01/31/2026,Franchise Shorts,Marketing,Labor - Internal,112067.14,95257.07
2026-01-05,Toy Story 5,Marketing,Travel & Casting,222999.9,189549.91
2026-01-02,Project Elio,Anim & Production,Travel & Casting,243155.11,340417.15
2026-03-23,Toy Story 5,Post-Prod & Sound,Labor - Internal,199753.73,279655.22
2026-01-15,Franchise Shorts,Anim & Production,Compute/Cloud Infrastructure,250234.7,262746.43
2026-01-24,Project Hoppers,Tech Ops - Render,Vendor Contract,244792.31,208073.46
2026-02-12,Project Elio,Marketing,Equipment Lease,478542.32,669959.25
01/27/2026,Toy Story 5,Marketing,Travel & Casting,"$293,632.06","$278,950.46"
2026-01-10,Franchise Shorts,Post-Prod & Sound,Vendor Contract,179901.46,152916.24
03/27/2026,Project Hoppers,RENDERING,Vendor Contract,490787.01,613483.76
2026-02-05,Franchise Shorts,RENDERING,Equipment Lease,53261.22,45272.04
2026-01-04,Toy Story 5,Post-Prod & Sound,Vendor Contract,95106.44,133149.02
2026-03-10,Franchise Shorts,Post-Prod & Sound,Equipment Lease,392610.97,333719.32
03/31/2026,Toy Story 5,RENDERING,Compute/Cloud Infrastructure,236389.0,248208.45
2026-02-12,Project Hoppers,Marketing,Vendor Contract,419023.34,439974.51
2026-03-21,Project Hoppers,RENDERING,Labor - Internal,208753.88,292255.43
2026-01-23,Toy Story 5,Post-Prod & Sound,Equipment Lease,373375.03,466718.79
2026-03-21,Franchise Shorts,Pre-Production & Story,Labor - Internal,"$326,497.07",457095.9
2026-03-06,Project Hoppers,Anim & Production,Compute/Cloud Infrastructure,466954.64,490302.37
2026-01-25,Toy Story 5,Pre-Production & Story,Labor - Internal,200606.57,210636.9
2026-01-15,Franchise Shorts,Tech Ops - Render,Vendor Contract,"$439,700.13",461685.14
01/18/2026,Franchise Shorts,RENDERING,Equipment Lease,461442.38,646019.33
2026-01-01,Toy Story 5,Anim & Production,Travel & Casting,454828.1,386603.88
2026-01-10,Franchise Shorts,Post-Prod & Sound,Vendor Contract,300210.23,285199.72
01/03/2026,Project Elio,Post-Prod & Sound,Labor - Internal,79951.94,"$83,949.54"
2026-03-12,Franchise Shorts,Marketing,Equipment Lease,241967.56,302459.45
2026-02-15,Project Elio,Pre-Production & Story,Travel & Casting,255211.69,357296.37
2026-01-28,Project Hoppers,Animation & Prod,Vendor Contract,435776.36,370409.91
2026-03-08,,Marketing,Equipment Lease,69192.86,96870.0
2026-01-16,Toy Story 5,Tech Ops - Render,Equipment Lease,254306.29,267021.6
2026-02-19,Toy Story 5,Anim & Production,Equipment Lease,290533.04,363166.3
2026-01-05,Toy Story 5,Marketing,Travel & Casting,237980.55,226081.52
2026-02-10,Project Hoppers,Anim & Production,Labor - Internal,360713.61,342677.93
2026-03-31,Toy Story 5,Anim & Production,Labor - Internal,84932.99,"$72,193.04"
2026-02-01,Toy Story 5,RENDERING,Compute/Cloud Infrastructure,315631.54,394539.42
03/31/2026,Project Hoppers,Animation & Prod,Equipment Lease,499316.2,524282.01
2026-02-28,Toy Story 5,Post-Prod & Sound,Labor - Internal,102445.46,128056.83
2026-03-12,Project Hoppers,Animation & Prod,Vendor Contract,236720.05,224884.05
2026-02-12,Project Elio,Post-Prod & Sound,Travel & Casting,199276.47,169385.0
2026-03-20,Project Hoppers,Anim & Production,Labor - Internal,425226.3,446487.61
2026-02-23,Project Elio,Anim & Production,Compute/Cloud Infrastructure,416160.62,582624.87
2026-03-17,Project Hoppers,Marketing,Labor - Internal,86522.06,82195.96
2026-02-10,Project Hoppers,Marketing,Labor - Internal,88710.77,93146.31
2026-03-09,Project Hoppers,Post-Prod & Sound,Equipment Lease,"$99,973.05",104971.7
2026-03-15,Toy Story 5,Animation & Prod,Labor - Internal,112997.05,-118646.9
2026-03-13,Project Hoppers,Anim & Production,Travel & Casting,165044.85,156792.61
02/06/2026,Toy Story 5,Tech Ops - Render,Labor - Internal,258657.37,219858.76
2026-01-16,Project Hoppers,Pre-Production & Story,Compute/Cloud Infrastructure,340676.5,425845.62
02/03/2026,Franchise Shorts,Anim & Production,Vendor Contract,"$122,687.35",171762.29
02/14/2026,Toy Story 5,Post-Prod & Sound,Equipment Lease,333526.59,350202.92
2026-03-02,Toy Story 5,Tech Ops - Render,Travel & Casting,455704.91,387349.17
2026-02-18,Franchise Shorts,Post-Prod & Sound,Equipment Lease,462014.93,485115.68
03/28/2026,Franchise Shorts,Tech Ops - Render,Compute/Cloud Infrastructure,103207.62,108368.0
2026-03-04,Project Hoppers,RENDERING,Compute/Cloud Infrastructure,184844.44,194086.66
2026-01-29,Franchise Shorts,Post-Prod & Sound,Travel & Casting,430956.19,409408.38
2026-02-16,Franchise Shorts,Marketing,Equipment Lease,150164.67,142656.44
2026-03-16,Project Hoppers,Anim & Production,Travel & Casting,342488.83,325364.39
2026-02-17,Toy Story 5,Marketing,Equipment Lease,20015.65,25019.56
2026-01-22,Franchise Shorts,Anim & Production,Labor - Internal,221876.39,"$310,626.95"
2026-03-08,Franchise Shorts,RENDERING,Equipment Lease,410373.15,348817.18
02/23/2026,Toy Story 5,Tech Ops - Render,Compute/Cloud Infrastructure,"$489,113.70",415746.65
2026-03-14,Project Elio,Marketing,Labor - Internal,91886.98,"$87,292.63"
2026-02-18,Toy Story 5,Tech Ops - Render,Travel & Casting,97672.35,136741.29
2026-03-02,Project Elio,Post-Prod & Sound,Equipment Lease,190784.9,181245.65
01/12/2026,Project Elio,Animation & Prod,Equipment Lease,230921.3,"$242,467.36"
2026-02-10,Project Hoppers,Post-Prod & Sound,Vendor Contract,141466.04,176832.55
2026-01-26,Project Hoppers,Tech Ops - Render,Compute/Cloud Infrastructure,493967.43,469269.06
02/16/2026,Project Hoppers,Pre-Production & Story,Travel & Casting,105372.43,147521.4
2026-03-26,Project Elio,Post-Prod & Sound,Labor - Internal,444067.86,555084.82
2026-02-19,Project Hoppers,Post-Prod & Sound,Equipment Lease,446975.08,558718.85
2026-03-20,Toy Story 5,Anim & Production,Labor - Internal,"$208,519.84","$260,649.80"
2026-02-14,Toy Story 5,Pre-Production & Story,Compute/Cloud Infrastructure,499955.02,699937.03
2026-03-30,Project Hoppers,Marketing,Compute/Cloud Infrastructure,"$465,557.21",581946.51
2026-03-17,Project Elio,Tech Ops - Render,Compute/Cloud Infrastructure,335513.37,285186.36
2026-03-25,Toy Story 5,Marketing,Compute/Cloud Infrastructure,226362.07,"$237,680.17"
2026-03-07,,Tech Ops - Render,Vendor Contract,123206.42,154008.02
2026-01-08,Toy Story 5,Tech Ops - Render,Travel & Casting,481395.62,601744.53
2026-01-22,Toy Story 5,Marketing,Travel & Casting,135620.35,128839.33
03/17/2026,Toy Story 5,Animation & Prod,Travel & Casting,295801.23,369751.54
03/03/2026,Project Hoppers,Anim & Production,Compute/Cloud Infrastructure,59384.33,74230.41
03/23/2026,Franchise Shorts,Marketing,Compute/Cloud Infrastructure,"$244,382.21",207724.88
2026-01-08,Project Hoppers,Tech Ops - Render,Vendor Contract,379772.12,360783.51
2026-01-28,Project Hoppers,Tech Ops - Render,Vendor Contract,300724.79,255616.07
2026-02-13,Franchise Shorts,RENDERING,Equipment Lease,26693.36,22689.36
2026-01-27,Project Elio,Tech Ops - Render,Vendor Contract,119622.62,101679.23
2026-03-15,Toy Story 5,Animation & Prod,Vendor Contract,427296.49,"$598,215.09"
2026-01-21,Toy Story 5,Anim & Production,Labor - Internal,354561.46,336833.39
2026-01-20,Franchise Shorts,RENDERING,Equipment Lease,326240.62,"$277,304.53"
2026-03-12,Toy Story 5,Pre-Production & Story,Labor - Internal,215483.71,226257.9
01/31/2026,Toy Story 5,Post-Prod & Sound,Travel & Casting,389749.09,545648.73
2026-03-19,Toy Story 5,Pre-Production & Story,Travel & Casting,297322.9,371653.62
2026-02-02,Project Elio,RENDERING,Compute/Cloud Infrastructure,32769.36,45877.1
2026-03-16,Project Elio,Post-Prod & Sound,Labor - Internal,453885.18,476579.44
02/15/2026,Project Elio,Anim & Production,Travel & Casting,59246.89,56284.55
2026-02-22,Project Hoppers,Marketing,Travel & Casting,111197.97,155677.16
2026-03-21,Toy Story 5,Pre-Production & Story,Vendor Contract,29772.26,37215.32
2026-01-01,Franchise Shorts,Marketing,Vendor Contract,"$436,900.04",546125.05
2026-03-19,Project Elio,Animation & Prod,Labor - Internal,176556.3,150072.85
2026-01-04,Franchise Shorts,RENDERING,Vendor Contract,87545.41,91922.68
2026-03-27,Project Hoppers,Tech Ops - Render,Labor - Internal,"$414,245.18",579943.25
2026-03-21,Franchise Shorts,Post-Prod & Sound,Equipment Lease,74778.74,63561.93
2026-02-18,Project Elio,Tech Ops - Render,Equipment Lease,283280.8,396593.12
2026-02-03,Franchise Shorts,RENDERING,Travel & Casting,216634.5,270793.12
2026-03-16,Franchise Shorts,Marketing,Labor - Internal,396098.44,"$554,537.82"
2026-02-20,Project Hoppers,Marketing,Compute/Cloud Infrastructure,332614.32,465660.05
2026-03-12,Project Elio,Pre-Production & Story,Equipment Lease,327130.7,457982.98
02/16/2026,Project Hoppers,Post-Prod & Sound,Equipment Lease,163284.68,155120.45
2026-03-07,Project Elio,Marketing,Vendor Contract,477252.19,668153.07
2026-01-13,Project Elio,Post-Prod & Sound,Travel & Casting,281580.0,267501.0
2026-01-17,Project Hoppers,Pre-Production & Story,Labor - Internal,496892.39,422358.53
2026-01-08,Project Elio,Post-Prod & Sound,Compute/Cloud Infrastructure,51750.43,72450.6
2026-01-10,Toy Story 5,Post-Prod & Sound,Vendor Contract,112378.06,"$117,996.96"
2026-01-01,Project Elio,Animation & Prod,Compute/Cloud Infrastructure,"$495,056.94","$470,304.09"
2026-03-23,Franchise Shorts,Marketing,Compute/Cloud Infrastructure,392622.25,412253.36
01/05/2026,Project Elio,Marketing,Equipment Lease,271083.92,257529.72
2026-01-14,Project Hoppers,Animation & Prod,Compute/Cloud Infrastructure,52579.13,73610.78
2026-01-27,Franchise Shorts,Tech Ops - Render,Compute/Cloud Infrastructure,189930.06,237412.58
2026-01-28,Project Hoppers,RENDERING,Vendor Contract,270966.53,230321.55
2026-03-02,Franchise Shorts,Post-Prod & Sound,Equipment Lease,"$299,472.87",374341.09
2026-01-20,Project Elio,Pre-Production & Story,Labor - Internal,250045.98,262548.28
2026-01-13,Toy Story 5,RENDERING,Labor - Internal,95064.63,90311.4
03/11/2026,Toy Story 5,Anim & Production,Vendor Contract,303746.42,288559.1
2026-03-01,Project Hoppers,Anim & Production,Equipment Lease,329353.74,312886.05
2026-01-14,Project Elio,RENDERING,Travel & Casting,170722.23,179258.34
2026-02-23,Franchise Shorts,Pre-Production & Story,Travel & Casting,419225.58,440186.86
2026-03-31,Project Elio,Anim & Production,Vendor Contract,267442.24,280814.35
2026-01-18,Franchise Shorts,Pre-Production & Story,Compute/Cloud Infrastructure,126414.3,120093.58
2026-02-16,Toy Story 5,Tech Ops - Render,Travel & Casting,409021.02,388569.97
2026-03-26,Toy Story 5,Pre-Production & Story,Vendor Contract,480262.72,408223.31
2026-01-30,Franchise Shorts,RENDERING,Vendor Contract,495269.05,420978.69
2026-03-26,Franchise Shorts,Pre-Production & Story,Vendor Contract,453956.04,"$431,258.24"
2026-02-04,Franchise Shorts,RENDERING,Equipment Lease,193182.26,"$241,477.83"
2026-01-13,Franchise Shorts,Post-Prod & Sound,Travel & Casting,"$313,686.46","$266,633.49"
2026-02-01,Project Hoppers,Pre-Production & Story,Compute/Cloud Infrastructure,377922.49,529091.49
2026-01-12,Project Elio,RENDERING,Vendor Contract,435891.63,610248.28
2026-02-23,Franchise Shorts,RENDERING,Labor - Internal,49966.02,"$47,467.72"
2026-02-09,Toy Story 5,Anim & Production,Travel & Casting,379680.38,322728.32
2026-01-03,Project Elio,Post-Prod & Sound,Vendor Contract,380295.84,399310.63
2026-01-19,Toy Story 5,Tech Ops - Render,Travel & Casting,"$341,704.22",324619.01
2026-02-01,Project Elio,Tech Ops - Render,Compute/Cloud Infrastructure,77429.07,73557.62
02/24/2026,Project Hoppers,Animation & Prod,Vendor Contract,"$335,064.97",469090.96
2026-01-09,Franchise Shorts,Anim & Production,Labor - Internal,369704.13,462130.16
2026-01-09,Franchise Shorts,Animation & Prod,Labor - Internal,261304.87,222109.14
2026-02-09,Project Elio,Post-Prod & Sound,Compute/Cloud Infrastructure,186647.25,233309.06
2026-03-24,,Post-Prod & Sound,Vendor Contract,28680.94,"$35,851.17"
2026-01-23,Toy Story 5,Anim & Production,Vendor Contract,232754.97,221117.22
03/08/2026,Project Hoppers,Animation & Prod,Vendor Contract,347667.09,"$295,517.03"
2026-03-07,Franchise Shorts,Marketing,Vendor Contract,114051.8,"$108,349.21"
2026-01-16,Toy Story 5,Post-Prod & Sound,Travel & Casting,212699.32,223334.29
2026-03-04,Toy Story 5,Marketing,Travel & Casting,496976.93,"$695,767.70"
2026-03-30,Project Hoppers,Post-Prod & Sound,Compute/Cloud Infrastructure,444884.73,556105.91
2026-03-03,Franchise Shorts,Pre-Production & Story,Labor - Internal,437715.31,612801.43
2026-02-26,Project Elio,Tech Ops - Render,Compute/Cloud Infrastructure,256306.57,243491.24
2026-02-17,Toy Story 5,Pre-Production & Story,Equipment Lease,226147.95,214840.55
2026-01-03,,Post-Prod & Sound,Vendor Contract,130197.06,123687.21
2026-03-16,Toy Story 5,Pre-Production & Story,Vendor Contract,355874.25,338080.54
2026-02-10,Project Hoppers,Pre-Production & Story,Compute/Cloud Infrastructure,135737.05,128950.2
2026-01-08,Project Elio,Tech Ops - Render,Labor - Internal,237999.11,226099.15
2026-03-26,Toy Story 5,Post-Prod & Sound,Equipment Lease,460586.84,575733.55
2026-01-11,Franchise Shorts,Tech Ops - Render,Compute/Cloud Infrastructure,"$419,566.36",524457.95
03/25/2026,Franchise Shorts,Anim & Production,Compute/Cloud Infrastructure,460455.37,483478.14
2026-02-17,Toy Story 5,Marketing,Equipment Lease,73980.26,92475.32
2026-01-25,,Marketing,Travel & Casting,63681.77,54129.5
2026-02-18,Project Elio,RENDERING,Vendor Contract,242566.43,206181.47
2026-02-06,Project Elio,Animation & Prod,Travel & Casting,411868.11,350087.89
2026-02-07,Franchise Shorts,RENDERING,Travel & Casting,421754.63,527193.29
2026-02-08,Franchise Shorts,Tech Ops - Render,Compute/Cloud Infrastructure,410468.57,574656.0
2026-01-03,Toy Story 5,Pre-Production & Story,Equipment Lease,359457.12,503239.97
01/11/2026,Project Hoppers,RENDERING,Equipment Lease,249885.54,212402.71
2026-01-01,Toy Story 5,Marketing,Compute/Cloud Infrastructure,199363.5,249204.38
2026-01-03,Franchise Shorts,Anim & Production,Travel & Casting,491525.28,466949.02
2026-03-28,Franchise Shorts,Tech Ops - Render,Equipment Lease,464837.3,395111.7
2026-03-13,Project Elio,RENDERING,Labor - Internal,304796.23,426714.72
2026-03-17,Franchise Shorts,RENDERING,Equipment Lease,37863.4,32183.89
2026-01-08,,Post-Prod & Sound,Compute/Cloud Infrastructure,"$365,301.13","$511,421.58"
2026-03-12,Franchise Shorts,Anim & Production,Labor - Internal,446001.51,557501.89
2026-03-28,Toy Story 5,RENDERING,Labor - Internal,325851.4,"$276,973.69"
2026-01-07,,Post-Prod & Sound,Travel & Casting,346922.51,364268.64
2026-02-26,Project Hoppers,Anim & Production,Labor - Internal,448086.8,560108.5
2026-01-13,Franchise Shorts,Pre-Production & Story,Labor - Internal,120802.36,"$102,682.01"
2026-03-13,Project Hoppers,Tech Ops - Render,Vendor Contract,212072.02,201468.42
2026-02-05,Project Elio,Animation & Prod,Labor - Internal,253964.18,215869.55
2026-01-24,Toy Story 5,Marketing,Vendor Contract,440541.47,418514.4
2026-02-25,Project Hoppers,Post-Prod & Sound,Labor - Internal,340872.8,323829.16
2026-03-29,Project Elio,Post-Prod & Sound,Labor - Internal,469187.37,"$492,646.74"
2026-01-18,Project Elio,Animation & Prod,Compute/Cloud Infrastructure,415459.92,353140.93
2026-01-23,Toy Story 5,Marketing,Equipment Lease,247414.2,346379.88
2026-03-01,Toy Story 5,RENDERING,Vendor Contract,245198.86,208419.03
01/02/2026,Franchise Shorts,RENDERING,Travel & Casting,381670.51,400754.04
2026-02-12,Project Elio,Animation & Prod,Compute/Cloud Infrastructure,319282.8,"$446,995.92"
2026-01-09,Toy Story 5,Marketing,Labor - Internal,176440.04,149974.03
02/17/2026,Project Elio,Post-Prod & Sound,Labor - Internal,223330.28,189830.74
2026-03-26,Project Hoppers,Marketing,Travel & Casting,245891.38,307364.22
2026-03-31,Franchise Shorts,Pre-Production & Story,Labor - Internal,191240.25,162554.21
2026-01-18,Project Hoppers,Post-Prod & Sound,Compute/Cloud Infrastructure,113723.87,142154.84
2026-03-25,Franchise Shorts,Animation & Prod,Travel & Casting,69168.05,86460.06
2026-01-10,Project Hoppers,Pre-Production & Story,Vendor Contract,68351.59,95692.23
2026-02-20,Project Elio,RENDERING,Equipment Lease,179674.57,224593.21
2026-03-05,Franchise Shorts,Anim & Production,Vendor Contract,120907.48,151134.35
2026-03-04,Franchise Shorts,Tech Ops - Render,Compute/Cloud Infrastructure,110586.31,"$138,232.89"
2026-02-23,Project Hoppers,Post-Prod & Sound,Vendor Contract,275003.14,261252.98
2026-01-15,Project Hoppers,Pre-Production & Story,Labor - Internal,491038.84,613798.55
2026-03-01,Toy Story 5,RENDERING,Equipment Lease,"$327,651.23",278503.55
2026-01-27,Project Hoppers,Post-Prod & Sound,Vendor Contract,236739.05,"$248,576.00"
2026-01-16,Project Elio,Anim & Production,Travel & Casting,458844.3,390017.65
2026-03-05,Project Hoppers,Marketing,Equipment Lease,"$47,267.83",66174.96
02/05/2026,Project Elio,Pre-Production & Story,Travel & Casting,69098.14,96737.4
2026-01-10,Toy Story 5,Anim & Production,Compute/Cloud Infrastructure,101672.92,127091.15
2026-01-09,Project Elio,Marketing,Compute/Cloud Infrastructure,112637.93,95742.24
2026-01-17,Project Elio,Tech Ops - Render,Travel & Casting,199012.21,208962.82
2026-02-23,Project Hoppers,Marketing,Vendor Contract,413467.94,"$351,447.75"
2026-02-03,Project Hoppers,Tech Ops - Render,Travel & Casting,231108.01,"$288,885.01"
2026-03-05,Project Hoppers,Anim & Production,Equipment Lease,336646.4,353478.72
2026-02-09,Toy Story 5,Anim & Production,Equipment Lease,23665.05,29581.31
2026-03-27,Project Elio,Pre-Production & Story,Equipment Lease,"$336,475.94","$286,004.55"
2026-01-30,Toy Story 5,Anim & Production,Compute/Cloud Infrastructure,309286.61,293822.28
2026-02-23,Franchise Shorts,Tech Ops - Render,Vendor Contract,"$334,949.65","$318,202.17"
2026-02-16,Project Hoppers,Post-Prod & Sound,Labor - Internal,468668.32,585835.4
2026-01-18,Toy Story 5,Marketing,Vendor Contract,102632.22,97500.61
2026-03-14,Project Elio,Pre-Production & Story,Vendor Contract,295564.16,"$310,342.37"
